variant_id,product_id,size,color,sku,price,stock_qty,weight_g
1068,105,M,Emerald,105-EME-M,49.0,26,520
1069,105,L,Emerald,105-EME-L,51.0,15,220
1070,105,XL,Emerald,105-EME-XL,51.0,33,180
1071,105,XS,Ink,105-INK-XS,49.0,38,220
1072,105,S,Ink,105-INK-S,49.0,39,260
1073,105,M,Ink,105-INK-M,49.0,12,400
1074,105,L,Ink,105-INK-L,51.0,32,180
1075,105,XL,Ink,105-INK-XL,51.0,23,180
1076,106,XS,Indigo,106-IND-XS,78.0,26,260
1077,106,S,Indigo,106-IND-S,78.0,29,320
1078,106,M,Indigo,106-IND-M,78.0,28,320
1079,106,L,Indigo,106-IND-L,80.0,16,260
1080,106,XL,Indigo,106-IND-XL,80.0,20,400
1081,106,XS,Black,106-BLA-XS,78.0,8,180
1082,106,S,Black,106-BLA-S,78.0,40,260
1083,106,M,Black,106-BLA-M,78.0,36,220
1084,106,L,Black,106-BLA-L,80.0,9,320
1085,106,XL,Black,106-BLA-XL,80.0,18,260
1086,107,XS,Khaki,107-KHA-XS,62.0,16,400
1087,107,S,Khaki,107-KHA-S,62.0,35,520
1088,107,M,Khaki,107-KHA-M,62.0,36,180
1089,107,L,Khaki,107-KHA-L,64.0,17,180
1090,107,XL,Khaki,107-KHA-XL,64.0,10,320
1091,107,XS,Navy,107-NAV-XS,62.0,39,400
1092,107,S,Navy,107-NAV-S,62.0,21,180
1093,107,M,Navy,107-NAV-M,62.0,34,260
1094,107,L,Navy,107-NAV-L,64.0,34,520
1095,107,XL,Navy,107-NAV-XL,64.0,24,260
1096,107,XS,Olive,107-OLI-XS,62.0,32,400
1097,107,S,Olive,107-OLI-S,62.0,34,400
1098,107,M,Olive,107-OLI-M,62.0,30,180
1099,107,L,Olive,107-OLI-L,64.0,37,180
1100,107,XL,Olive,107-OLI-XL,64.0,23,520
1101,108,XS,Natural,108-NAT-XS,42.0,20,180
1102,108,S,Natural,108-NAT-S,42.0,34,400
1103,108,M,Natural,108-NAT-M,42.0,34,320
1104,108,L,Natural,108-NAT-L,44.0,19,220
1105,108,XS,Stone,108-STO-XS,42.0,12,260
1106,108,S,Stone,108-STO-S,42.0,17,260
1107,108,M,Stone,108-STO-M,42.0,18,520
1108,108,L,Stone,108-STO-L,44.0,30,400
1109,109,XS,Black,109-BLA-XS,55.0,15,220
1110,109,S,Black,109-BLA-S,55.0,19,260
1111,109,M,Black,109-BLA-M,55.0,32,180
1112,109,L,Black,109-BLA-L,57.0,23,180
1113,109,XL,Black,109-BLA-XL,57.0,13,220
1114,109,XS,Heather Grey,109-HEA-XS,55.0,20,180
1115,109,S,Heather Grey,109-HEA-S,55.0,28,180
1116,109,M,Heather Grey,109-HEA-M,55.0,20,180
1117,109,L,Heather Grey,109-HEA-L,57.0,11,520
1118,109,XL,Heather Grey,109-HEA-XL,57.0,25,400
1119,109,XS,Navy,109-NAV-XS,55.0,9,220
1120,109,S,Navy,109-NAV-S,55.0,25,220
1121,109,M,Navy,109-NAV-M,55.0,37,520
1122,109,L,Navy,109-NAV-L,57.0,38,320
1123,109,XL,Navy,109-NAV-XL,57.0,27,260
1124,110,XS,Sage,110-SAG-XS,59.0,33,400
1125,110,S,Sage,110-SAG-S,59.0,16,320
1126,110,M,Sage,110-SAG-M,59.0,15,520
1127,110,L,Sage,110-SAG-L,61.0,13,400
1128,110,XS,Midnight,110-MID-XS,59.0,8,220
1129,110,S,Midnight,110-MID-S,59.0,39,520
1130,110,M,Midnight,110-MID-M,59.0,37,260
1131,110,L,Midnight,110-MID-L,61.0,30,320
1132,111,XS,Black,111-BLA-XS,89.0,37,220
1133,111,S,Black,111-BLA-S,89.0,23,400
1134,111,M,Black,111-BLA-M,89.0,35,520
1135,111,L,Black,111-BLA-L,91.0,15,180
1136,111,XL,Black,111-BLA-XL,91.0,9,220
1137,111,XS,Olive,111-OLI-XS,89.0,14,520
1138,111,S,Olive,111-OLI-S,89.0,19,400
1139,111,M,Olive,111-OLI-M,89.0,9,260
1140,111,L,Olive,111-OLI-L,91.0,19,400
1141,111,XL,Olive,111-OLI-XL,91.0,36,180
1142,112,XS,Stone,112-STO-XS,120.0,24,520
1143,112,S,Stone,112-STO-S,120.0,40,260
1144,112,M,Stone,112-STO-M,120.0,14,220
1145,112,L,Stone,112-STO-L,122.0,39,180
1146,112,XL,Stone,112-STO-XL,122.0,19,400
1147,112,XS,Navy,112-NAV-XS,120.0,32,400
1148,112,S,Navy,112-NAV-S,120.0,29,260
1149,112,M,Navy,112-NAV-M,120.0,26,400
1150,112,L,Navy,112-NAV-L,122.0,25,400
1151,112,XL,Navy,112-NAV-XL,122.0,36,400
1152,113,XS,Camel,113-CAM-XS,165.0,28,180
1153,113,S,Camel,113-CAM-S,165.0,38,220
1154,113,M,Camel,113-CAM-M,165.0,13,320
1155,113,L,Camel,113-CAM-L,167.0,38,180
1156,113,XL,Camel,113-CAM-XL,167.0,37,220
1157,113,XS,Charcoal,113-CHA-XS,165.0,26,320
1158,113,S,Charcoal,113-CHA-S,165.0,38,260
1159,113,M,Charcoal,113-CHA-M,165.0,32,400
1160,113,L,Charcoal,113-CHA-L,167.0,32,260
1161,113,XL,Charcoal,113-CHA-XL,167.0,15,180
1162,114,XS,Black,114-BLA-XS,75.0,29,320
1163,114,S,Black,114-BLA-S,75.0,19,180
1164,114,M,Black,114-BLA-M,75.0,10,260
1165,114,L,Black,114-BLA-L,77.0,27,520
1166,114,XL,Black,114-BLA-XL,77.0,8,180
1167,114,XS,Rust,114-RUS-XS,75.0,22,320
1168,114,S,Rust,114-RUS-S,75.0,20,400
1169,114,M,Rust,114-RUS-M,75.0,34,400
1170,114,L,Rust,114-RUS-L,77.0,15,260
1171,114,XL,Rust,114-RUS-XL,77.0,26,400
1172,114,XS,Olive,114-OLI-XS,75.0,35,320
1173,114,S,Olive,114-OLI-S,75.0,19,400
1174,114,M,Olive,114-OLI-M,75.0,11,520
1175,114,L,Olive,114-OLI-L,77.0,12,260
1176,114,XL,Olive,114-OLI-XL,77.0,9,520
1177,115,XS,Charcoal,115-CHA-XS,68.0,38,400
1178,115,S,Charcoal,115-CHA-S,68.0,33,520
1179,115,M,Charcoal,115-CHA-M,68.0,10,400
1180,115,L,Charcoal,115-CHA-L,70.0,14,180
1181,115,XL,Charcoal,115-CHA-XL,70.0,17,220
1182,115,XS,Navy,115-NAV-XS,68.0,40,320
1183,115,S,Navy,115-NAV-S,68.0,9,180
1184,115,M,Navy,115-NAV-M,68.0,23,520
1185,115,L,Navy,115-NAV-L,70.0,18,320
1186,115,XL,Navy,115-NAV-XL,70.0,25,220
1187,115,XS,Cream,115-CRE-XS,68.0,22,260
1188,115,S,Cream,115-CRE-S,68.0,39,180
1189,115,M,Cream,115-CRE-M,68.0,23,400
1190,115,L,Cream,115-CRE-L,70.0,19,260
1191,115,XL,Cream,115-CRE-XL,70.0,28,400
